1.5699999,0.0,1.75,1.6599998,0.90000004,1.5249999,1.6599998,0.0,1.5249999
1.5699999,0.0,1.75,1.5699999,0.90000004,1.75,1.6599998,0.90000004,1.5249999
1.6599998,0.0,1.5249999,1.8399999,0.90000004,1.5249999,1.8399999,0.0,1.5249999
1.6599998,0.0,1.5249999,1.6599998,0.90000004,1.5249999,1.8399999,0.90000004,1.5249999
1.8399999,0.0,1.5249999,1.9300001,0.90000004,1.75,1.9300001,0.0,1.75
1.8399999,0.0,1.5249999,1.8399999,0.90000004,1.5249999,1.9300001,0.90000004,1.75
1.9300001,0.0,1.75,1.8399999,0.90000004,1.9750001,1.8399999,0.0,1.9750001
1.9300001,0.0,1.75,1.9300001,0.90000004,1.75,1.8399999,0.90000004,1.9750001
1.8399999,0.0,1.9750001,1.6599998,0.90000004,1.9750001,1.6599998,0.0,1.9750001
1.8399999,0.0,1.9750001,1.8399999,0.90000004,1.9750001,1.6599998,0.90000004,1.9750001
1.6599998,0.0,1.9750001,1.5699999,0.90000004,1.75,1.5699999,0.0,1.75
1.6599998,0.0,1.9750001,1.6599998,0.90000004,1.9750001,1.5699999,0.90000004,1.75
0.40000004,0.90000004,1.75,1.3000001,1.8000001,1.0749999,1.0749999,0.90000004,0.625
0.40000004,0.90000004,1.75,0.85,1.8000001,1.75,1.3000001,1.8000001,1.0749999
1.0749999,0.90000004,0.625,2.2,1.8000001,1.0749999,2.425,0.90000004,0.625
1.0749999,0.90000004,0.625,1.3000001,1.8000001,1.0749999,2.2,1.8000001,1.0749999
2.425,0.90000004,0.625,2.6499999,1.8000001,1.75,3.1000001,0.90000004,1.75
2.425,0.90000004,0.625,2.2,1.8000001,1.0749999,2.6499999,1.8000001,1.75
3.1000001,0.90000004,1.75,2.2,1.8000001,2.425,2.425,0.90000004,2.875
3.1000001,0.90000004,1.75,2.6499999,1.8000001,1.75,2.2,1.8000001,2.425
2.425,0.90000004,2.875,1.3000001,1.8000001,2.425,1.0749999,0.90000004,2.875
2.425,0.90000004,2.875,2.2,1.8000001,2.425,1.3000001,1.8000001,2.425
1.0749999,0.90000004,2.875,0.85,1.8000001,1.75,0.40000004,0.90000004,1.75
1.0749999,0.90000004,2.875,1.3000001,1.8000001,2.425,0.85,1.8000001,1.75
0.85,1.8000001,1.75,1.48,2.925,1.39,1.3000001,1.8000001,1.0749999
0.85,1.8000001,1.75,1.21,2.925,1.75,1.48,2.925,1.39
1.3000001,1.8000001,1.0749999,2.02,2.925,1.39,2.2,1.8000001,1.0749999
1.3000001,1.8000001,1.0749999,1.48,2.925,1.39,2.02,2.925,1.39
2.2,1.8000001,1.0749999,2.29,2.925,1.75,2.6499999,1.8000001,1.75
2.2,1.8000001,1.0749999,2.02,2.925,1.39,2.29,2.925,1.75
2.6499999,1.8000001,1.75,2.02,2.925,2.11,2.2,1.8000001,2.425
2.6499999,1.8000001,1.75,2.29,2.925,1.75,2.02,2.925,2.11
2.2,1.8000001,2.425,1.48,2.925,2.11,1.3000001,1.8000001,2.425
2.2,1.8000001,2.425,2.02,2.925,2.11,1.48,2.925,2.11
1.3000001,1.8000001,2.425,1.21,2.925,1.75,0.85,1.8000001,1.75
1.3000001,1.8000001,2.425,1.48,2.925,2.11,1.21,2.925,1.75
1.21,2.925,1.75,1.75,4.5,1.75,1.48,2.925,1.39
1.48,2.925,1.39,1.75,4.5,1.75,2.02,2.925,1.39
2.02,2.925,1.39,1.75,4.5,1.75,2.29,2.925,1.75
2.29,2.925,1.75,1.75,4.5,1.75,2.02,2.925,2.11
2.02,2.925,2.11,1.75,4.5,1.75,1.48,2.925,2.11
1.48,2.925,2.11,1.75,4.5,1.75,1.21,2.925,1.75
